0.08764,0.09226,0.093963,0.090652,0.076276,0.082665,0.11752,0.10749,0.096409,0.1359,0.10656,0.099558,0.11355,0.096089,0.089362,0.12867,0.10257,0.090949,0.073328,0.093898
0.088297,0.10765,0.085313,0.086758,0.082739,0.10643,0.11479,0.062034,0.091412,0.084646,0.08111,0.12859,0.061575,0.10987,0.10634,0.10167,0.070605,0.092133,0.11524,0.11749
0.088345,0.099736,0.075232,0.089221,0.090131,0.10138,0.086628,0.10051,0.096792,0.095269,0.1003,0.11242,0.12651,0.11579,0.1138,0.10769,0.085907,0.085173,0.10608,0.12142
0.08842,0.088146,0.084284,0.081853,0.11019,0.10388,0.11064,0.11457,0.092303,0.090666,0.095639,0.097188,0.097284,0.094429,0.10416,0.10889,0.1012,0.098613,0.088538,0.09194
0.10704,0.12681,0.083841,0.099784,0.09595,0.079011,0.080441,0.10634,0.085145,0.074228,0.09253,0.10381,0.10382,0.088151,0.1158,0.09735,0.06837,0.082531,0.099353,0.084261
0.078321,0.10976,0.10217,0.090234,0.064797,0.073567,0.077972,0.10973,0.084174,0.11643,0.11146,0.097954,0.10931,0.096907,0.071693,0.10917,0.093695,0.1067,0.077343,0.083269
0.08963,0.088752,0.067585,0.073433,0.077071,0.10034,0.087538,0.095778,0.063962,0.071158,0.10255,0.11242,0.10899,0.072399,0.057891,0.066157,0.08404,0.065087,0.12713,0.10672
0.10592,0.07603,0.10033,0.10257,0.086737,0.094391,0.088457,0.10188,0.095813,0.10416,0.10904,0.097126,0.08168,0.065805,0.118,0.084269,0.10052,0.10024,0.088737,0.12286
0.099958,0.083685,0.082813,0.086686,0.092572,0.080466,0.10527,0.099047,0.10228,0.095236,0.10026,0.092465,0.10323,0.093356,0.10117,0.095556,0.093421,0.091111,0.093112,0.10687
0.082236,0.095937,0.10893,0.098456,0.068073,0.088457,0.09779,0.10122,0.10009,0.11894,0.09307,0.097373,0.099539,0.096282,0.08501,0.091909,0.11657,0.11508,0.082631,0.10312
