0.30205,0.24963,0.27139,0.23805,0.24813,0.34756,0.26663,0.27879
0.21487,0.28989,0.35066,0.26521,0.21974,0.20726,0.19834,0.28243
0.23926,0.23223,0.19501,0.25286,0.20818,0.17126,0.20737,0.264
0.25146,0.19563,0.19045,0.2538,0.23849,0.17975,0.19307,0.23679
0.2645,0.22971,0.26036,0.18143,0.23329,0.26079,0.2345,0.16305
0.33875,0.96449,0.24916,0.35765,0.45959,0.2484,0.19407,0.51235
0.31643,0.32291,0.26914,0.21252,0.27198,0.2247,0.20253,0.30736
0.24501,0.16402,0.21334,0.21933,0.22203,0.18644,0.16982,0.23316
0.21934,0.20764,0.16884,0.17469,0.24582,0.2116,0.18284,0.23553
0.27608,0.21329,0.20972,0.25795,0.20187,0.24304,0.2299,0.17856
