0.37832,0.35149,0.39053,0.33753,0.30996,0.44021,0.24558,0.42964,0.38872,0.3437,0.30732,0.29293,0.30542,0.26969,0.45021
0.21086,0.34073,0.30269,0.24308,0.23014,0.39386,0.29426,0.32468,0.39497,0.26576,0.26333,0.22727,0.29578,0.17103,0.17931
0.26806,0.33667,0.20226,0.23282,0.25621,0.21333,0.25245,0.26121,0.19403,0.31244,0.2282,0.27155,0.35373,0.28094,0.27612
0.20481,0.19806,0.23082,0.19681,0.2268,0.20567,0.24153,0.26685,0.21828,0.21915,0.28764,0.21463,0.18945,0.2209,0.25348
0.17871,0.14414,0.20099,0.18025,0.19216,0.14817,0.18068,0.17495,0.14651,0.14955,0.16814,0.17229,0.16994,0.21567,0.16617
0.50345,0.40264,0.29416,0.33412,0.3944,0.22921,0.31015,0.29212,0.30287,0.4139,0.4192,0.34892,0.32893,0.30572,0.48388
0.38751,0.4074,0.29979,0.20882,0.29804,0.22196,0.22685,0.26316,0.47433,0.30453,0.28145,0.46463,0.35663,0.25072,0.34047
0.3177,0.34617,0.24044,0.24709,0.26478,0.24679,0.25275,0.26602,0.25436,0.33423,0.25551,0.27349,0.31399,0.26912,0.30024
0.18795,0.19991,0.2519,0.21168,0.16859,0.26284,0.24381,0.22488,0.23808,0.21522,0.23191,0.21701,0.18022,0.22878,0.19736
0.14205,0.15186,0.22234,0.23793,0.18002,0.16852,0.14718,0.18894,0.17099,0.14353,0.15286,0.15068,0.21656,0.19547,0.18045
