0.41105,0.27846,0.28343,0.34674,0.31821,0.22623,0.222,0.19757
0.33058,0.24203,0.23264,0.16487,0.24978,0.209,0.33798,0.20351
0.28558,0.24661,0.22481,0.25405,0.20823,0.20451,0.20323,0.13992
0.24215,0.2212,0.17986,0.26595,0.18579,0.20751,0.22322,0.18294
0.18988,0.2222,0.22382,0.19392,0.29041,0.2392,0.26229,0.25282
0.37686,0.23768,0.3163,0.21726,0.3392,0.28379,0.29939,0.28561
0.23235,0.28298,0.16098,0.23383,0.35089,0.24744,0.39052,0.29497
0.29952,0.26137,0.19239,0.16705,0.19419,0.20793,0.27676,0.20505
0.23459,0.21044,0.193,0.17029,0.22273,0.22226,0.20054,0.22589
0.21412,0.20086,0.23628,0.29168,0.24872,0.17585,0.22957,0.19843
